"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","2","0","说话人分类-缺少音频文件","0"
"0","","0","","2","0","查询公共音色列表-名称筛选结合分页查询","0"
"0","","0","","2","0","视频压制合成-视频文件小于10秒","0"
"0","","0","","2","0","语音合成-文本超过10000字符","0"
"0","","0","","2","0","说话人分类-音频格式错误","0"
"0","","0","","0","1","视频压制合成-视频文件大小超过2G","0"
"0","","0","","2","0","查询说话人分类-状态","0"
"0","","0","","8","0","","0"
"0","","0","","2","0","查询公共音色列表-分页查询第2页每页5条","0"
"0","","0","","2","0","语音识别-上传合法音频","0"
"0","","0","","2","0","背景音与人声分离-缺少音频文件","0"
"0","","0","","2","0","视频压制合成-字幕压制时缺少target_language","0"
"0","","0","","2","0","语音合成-上传音频超过10MB","0"
"0","","0","","2","0","语音克隆-音频超过10MB","0"
"0","","0","","2","0","说话人分类-上传合法音频","0"
"0","","0","","2","0","字幕翻译-上传合法SRT文件","0"
"0","","0","","2","0","字幕回译-上传合法SRT文件","0"
"0","","0","","2","0","说话人分类-音频超过50MB","0"
"0","","0","","2","0","背景音与人声分离-音频时长超过10分钟","0"
"0","","0","","2","0","查询音色设计-request_id不存在","0"
"0","","0","","2","0","字幕擦除-视频格式不是MP4或MOV","0"
"0","","0","","2","0","背景音与人声分离-查询任务状态","0"
"0","","0","","2","0","视频压制合成-字幕格式错误","0"
"0","","0","","2","0","语音识别-上传50MB音频","0"
"0","","0","","2","0","查询公共音色列表-page_size最大有效值1000","0"
"0","","0","","2","0","字幕回译-字幕文件格式不是srt","0"
"0","","0","","2","0","视频压制合成-音频文件超过50MB","0"
"0","","0","","2","0","字幕翻译-字幕文件超过1MB","0"
"0","","0","","2","0","语音合成-缺失文本","0"
"0","","0","","2","0","语音克隆-音频格式错误","0"
"0","","0","","4","0","语音识别-音频格式错误","0"
"0","","0","","2","0","查询字幕擦除-结果","0"
"0","","0","","2","0","字幕擦除-缺失视频文件","0"
"0","","0","","2","0","背景音与人声分离-字幕文件超过1MB","0"
"0","","0","","2","0","查询公共音色列表-不传参数查询全部公共音色","0"
"0","","0","","2","0","查询公共音色列表-page_no最小有效值1","0"
"0","","0","","2","0","背景音与人声分离-字幕格式错误","0"
"0","","0","","2","0","语音克隆-上传合法音频","0"
"0","","0","","2","0","背景音与人声分离-音频超过50MB","0"
"0","","0","","2","0","查询字幕任务-缺失task_id","0"
"0","","0","","2","0","字幕擦除-视频文件为空","0"
"0","","0","","2","0","语音识别-缺失音频文件","0"
"0","","0","","2","0","语音识别-上传12分钟音频","0"
"0","","0","","2","0","查询视频压制合成-缺少task_id","0"
"0","","0","","2","0","视频压制合成-上传视频音频字幕","0"
"0","","0","","2","0","查询公共音色列表-page_no为0","0"
"0","","0","","2","0","背景音与人声分离-音频格式错误","0"
"0","","0","","2","0","语音合成-上传音频超过30s","0"
"0","","0","","2","0","说话人分类-音频时长超过10分钟","0"
"0","","0","","2","0","视频压制合成-音频时长超过10分钟","0"
"0","","0","","2","0","背景音与人声分离-task_id不存在","0"
"0","","0","","2","0","音色设计-合法500字符以内文本","0"
"0","","0","","2","0","视频压制合成-字幕字号最大边界96","0"
"0","","0","","2","0","语音识别-上传超过100MB音频","0"
"0","","0","","2","0","语音识别-上传超过60分钟音频","0"
"0","","0","","2","0","查询说话人分类-缺少request_id","0"
"0","","0","","2","0","字幕重译-字幕文件超过1MB","0"
"0","","0","","2","0","字幕重译-上传原字幕和译文字幕","0"
"0","","0","","2","0","背景音与人声分离-上传合法音频和字幕","0"
"0","","0","","2","0","视频压制合成-缺少自定义字幕位置","0"
"0","","0","","2","0","查询说话人分类-request_id不存在","0"
"0","","0","","2","0","字幕翻译-字幕文件格式不是srt","0"
"0","","0","","2","0","查询公共音色列表-page_size最小有效值1","0"
"0","","0","","2","0","查询字幕擦除-project_id不存在","0"
"0","","0","","2","0","视频压制合成-音频格式异常","0"
"0","","0","","2","0","字幕擦除-上传合法MP4视频","0"
"0","","0","","2","0","音色设计-文本为空","0"
"0","","0","","2","0","查询字幕任务-task_id不存在","0"
"0","","0","","2","0","字幕翻译-缺失字幕文件","0"
"0","","0","","2","0","字幕回译-字幕文件格式错误","0"
"0","","0","","2","0","视频压制合成-缺少视频文件","0"
"0","","0","","2","0","视频压制合成-字幕文件超过1MB","0"
"0","","0","","2","0","语音克隆-音频超过30s","0"
"0","","0","","2","0","查询公共音色列表-name为空字符串等价于不筛选","0"
"0","","0","","2","0","查询视频压制合成-任务状态","0"
"0","","0","","2","0","语音合成-使用speaker_id和合法文本","0"
"0","","0","","2","0","音色设计-文本超过500字符","0"
"0","","0","","2","0","查询音色设计-状态","0"
"0","","0","","2","0","视频压制合成-视频文件超过60分钟","0"
"0","","0","","2","0","字幕重译-字幕文件格式不是srt","0"
"0","","0","","2","0","语音克隆-音频文件为空","0"
"0","","0","","2","0","语音合成-上传音频文件进行语音合成","0"
"0","","0","","2","0","字幕翻译-上传合法SRT文件和 合法file_url文件链接","0"
"0","","0","","2","0","查询音色设计-缺失request_id","0"
"0","","0","","2","0","语音合成-音色ID不存在","0"
"0","","0","","2","0","查询公共音色列表-page_size为0","0"
"0","","0","","2","0","视频压制合成-视频格式错误","0"
"0","","0","","2","0","查询字幕擦除-缺失project_id","0"
"0","","0","","2","0","字幕翻译-上传合法file_url文件链接","0"
"0","","0","","2","0","视频压制合成-字幕字号最小边界12","0"
"0","","0","","2","0","背景音与人声分离-缺少task_id","0"
"0","","0","","2","0","查询公共音色列表-按名称模糊查询","0"
"0","","0","","2","0","查询公共音色列表-page_size超过最大值","0"
"0","","0","","2","0","语音克隆-缺失音频文件","0"
"0","","0","","2","0","查询字幕任务-任务状态","0"
"0","","0","","2","0","查询视频压制合成-task_id不存在","0"
"0","","0","","2","0","字幕翻译-file_url文件链接不是srt","0"
"0","","0","","2","0","字幕回译-字幕文件超过1MB","0"
"0","","0","","2","0","字幕翻译-file_url文件链接超过1MB","0"
"0","","0","","2","0","背景音与人声分离-音频大小等于50MB","0"
"0","","0","","2","0","查询公共音色列表-name不存在返回空列表","0"
